codigo_troquel;cilindro;repeat_in;repeat_mm;ancho_mm;largo_mm;ancho_in;largo_in;gap_ancho;gap_avance;ancho_banda;precorte_integrado;cavidades_ancho;cavidades_avance;forma;esquinas;precorte_entre_cavidades;familia_troquel
LR-01;110;13.75;349.3;20.0;110.0;0.787;4.331;0.118;0.253;5.0;NO;5;3;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-02;96;12.0;304.8;25.0;149.0;0.984;5.866;0.25;0.134;4.0;NO;3;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-03;96;12.0;304.8;101.6;150.5;4.0;5.925;0.118;0.075;8.63;NO;2;2;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-04;96;12.0;304.8;101.6;150.5;4.0;5.925;0.0;0.075;4.9;NO;1;2;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-05;96;12.0;304.8;50.8;34.93;2.0;1.375;0.118;0.125;9.0;NO;4;8;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-06;96;12.0;304.8;45.0;292.1;1.772;11.5;0.118;0.5;4.25;NO;2;1;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-07;60;7.5;190.5;32.0;180.0;1.26;7.087;0.249;0.45;4.75;NO;3;1;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-08;96;12.0;304.8;21.0;129.0;0.827;5.079;0.118;0.921;4.25;NO;4;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-09;65;8.13;206.4;22.0;203.0;0.866;7.992;0.202;0.133;4.63;NO;4;1;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-10;96;12.0;304.8;30.0;150.0;1.181;5.906;0.118;0.094;4.5;NO;3;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-11;96;12.0;304.8;30.0;150.0;1.181;5.906;0.118;0.094;5.63;NO;4;2;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-12;70;8.75;222.3;30.0;102.0;1.181;4.016;0.118;0.359;4.25;NO;3;2;Rectangular;Redondas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
LR-13;110;13.75;349.3;35.0;65.0;1.378;2.559;0.251;0.191;3.5;NO;2;5;Rectangular;Rectas;NO;TROQUELES FLEXIBLES CUADRADOS Y RECTANGULARES
